Sept. 14, 2020   13:07:46
Linear Sweep Voltammetry,
File: c:\users\zhanglei\desktop\zzy\ivData Source:  Experiment,
Instrument Model:  CHI660E,
Header: ,
Note: ,
,
Init E (V) = 0,
Final E (V) = 1.2,
Scan Rate (V/s) = 0.1,
Sample Interval (V) = 0.001,
Quiet Time (sec) = 2,
Sensitivity (A/V) = 0.01,
,
,
Potential/V, Current/A
,
0.861,1.53E-02
0.862,1.53E-02
0.863,1.53E-02
0.864,1.53E-02
0.865,1.53E-02
0.866,1.54E-02
0.867,1.54E-02
0.868,1.54E-02
0.869,1.54E-02
0.87,1.54E-02
0.871,1.55E-02
0.872,1.55E-02
0.873,1.55E-02
0.874,1.55E-02
0.875,1.55E-02
0.876,1.56E-02
0.877,1.56E-02
0.878,1.56E-02
0.879,1.56E-02
0.88,1.57E-02
0.881,1.57E-02
0.882,1.57E-02
0.883,1.57E-02
0.884,1.57E-02
0.885,1.58E-02
0.886,1.58E-02
0.887,1.58E-02
0.888,1.58E-02
0.889,1.58E-02
0.89,1.59E-02
0.891,1.59E-02
0.892,1.59E-02
0.893,1.59E-02
0.894,1.59E-02
0.895,1.59E-02
0.896,1.60E-02
0.897,1.60E-02
0.898,1.60E-02
0.899,1.60E-02
0.9,1.60E-02
0.901,1.61E-02
0.902,1.61E-02
0.903,1.61E-02
0.904,1.61E-02
0.905,1.62E-02
0.906,1.62E-02
0.907,1.62E-02
0.908,1.62E-02
0.909,1.62E-02
0.91,1.63E-02
0.911,1.63E-02
0.912,1.63E-02
0.913,1.63E-02
0.914,1.63E-02
0.915,1.64E-02
0.916,1.64E-02
0.917,1.64E-02
0.918,1.64E-02
0.919,1.64E-02
0.92,1.64E-02
0.921,1.65E-02
0.922,1.65E-02
0.923,1.65E-02
0.924,1.65E-02
0.925,1.66E-02
0.926,1.66E-02
0.927,1.66E-02
0.928,1.66E-02
0.929,1.66E-02
0.93,1.67E-02
0.931,1.67E-02
0.932,1.67E-02
0.933,1.67E-02
0.934,1.67E-02
0.935,1.68E-02
0.936,1.68E-02
0.937,1.68E-02
0.938,1.68E-02
0.939,1.68E-02
0.94,1.68E-02
0.941,1.69E-02
0.942,1.69E-02
0.943,1.69E-02
0.944,1.69E-02
0.945,1.69E-02
0.946,1.70E-02
0.947,1.70E-02
0.948,1.70E-02
0.949,1.70E-02
0.95,1.70E-02
0.951,1.71E-02
0.952,1.71E-02
0.953,1.71E-02
0.954,1.71E-02
